player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7356,2024,0,0,0,10,1,75,302,0,77,76,324,0,21,33,30,0,0,0,3,14,11,4,3,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,228,0,0,1.8713,1.3942
7357,2024,0,0,0,10,1,36,144,0,34,33,159,0,13,17,14,0,0,0,3,24,0,2,1,19,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,111,0,0,0.2925,0.2372
7358,2024,0,0,0,11,1,88,352,0,57,153,369,0,14,14,10,0,0,0,3,12,12,7,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,267,0,0,6.2227,4.9918
7360,2024,0,0,0,10,1,35,151,0,43,15,173,0,22,27,24,0,0,0,1,23,0,1,3,17,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,106,0,0,-0.5111,-0.8630
7361,2024,0,0,0,11,1,52,212,0,42,72,230,0,16,17,13,0,0,0,1,11,6,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,157,0,0,2.1255,1.5512
7362,2024,0,0,0,11,1,63,260,0,52,69,275,0,12,15,13,0,0,0,1,14,8,3,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,190,0,0,2.6089,2.5845
7364,2024,0,0,0,11,1,96,386,0,76,123,405,0,16,19,17,0,0,0,1,13,13,8,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,289,0,0,5.0275,4.8057
7365,2024,0,0,0,11,1,104,420,0,74,147,442,0,22,16,15,0,0,0,1,14,14,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,313,0,0,5.9349,5.9230
7366,2024,0,0,0,10,1,134,540,0,133,145,595,0,52,54,52,0,0,0,3,20,20,8,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,405,0,0,3.5635,3.1115
7367,2024,0,0,0,11,1,40,157,0,25,70,180,0,20,12,9,0,0,0,1,16,1,2,1,11,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,121,0,0,1.4435,1.0439
7368,2024,0,0,0,11,1,58,234,0,38,85,246,0,12,9,7,0,0,0,3,14,6,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,177,0,0,3.1414,3.0244
7369,2024,0,0,0,10,1,24,95,0,20,29,109,0,14,10,9,0,0,0,1,16,0,1,1,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,73,0,0,0.3439,0.2805
7371,2024,0,0,0,10,1,130,559,0,163,64,616,0,55,79,77,0,0,0,2,20,20,5,8,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,392,0,0,0.7935,0.2552
7374,2024,0,0,0,11,1,113,453,0,78,181,485,0,29,21,18,0,0,0,1,16,16,11,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,340,0,0,6.2855,5.8189
7376,2024,0,0,0,11,1,88,358,0,57,146,392,0,31,17,15,0,0,0,1,12,12,6,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,265,0,0,4.6336,4.4659
7377,2024,0,0,0,11,1,120,499,0,88,170,536,0,34,26,22,0,0,0,2,16,16,9,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,362,0,0,5.5836,5.7055
7378,2024,0,0,0,11,1,62,246,0,41,103,269,0,22,11,10,0,0,0,3,13,9,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,189,0,0,3.3831,3.1514
7379,2024,0,0,0,10,1,40,155,0,31,54,171,0,13,12,11,0,0,0,1,21,2,3,1,13,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,121,0,0,0.9884,1.0654
7382,2024,0,0,0,11,1,114,455,0,69,211,478,0,23,13,12,0,0,0,2,16,16,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,344,0,0,7.8000,7.2083
7383,2024,0,0,0,10,1,100,413,0,114,56,459,0,43,51,50,0,0,0,3,16,15,5,5,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,303,0,0,1.2952,1.1571
